Millis,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog_Temp_0 ADC_val
22636,940.0,3390.0,3190.0,17.307579040527344,,,,,,,,,,,,,-4.32871675491333,8.901641845703125,-3.026270866394043,-0.08141322433948517,0.20326699316501617,0.044165343046188354,-4.949999809265137,21.75,13.949999809265137,209.6243133544922,,,,,,,,0.0,0.0,0.0,,,,,,,,12.149999618530273,55.70000076293945,,670
23169,,,,,2025,12,6,17,1,58,0.0,0.0,0.0,0.0,0.0,0,-4.76924991607666,8.451532363891602,-3.1316158771514893,0.1213216707110405,-0.03937632963061333,-0.05374337360262871,-5.25,22.950000762939453,13.649999618530273,209.81600952148438,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.15999984741211,55.61000061035156,,676
24518,923.75,3358.75,3120.0,16.839433670043945,,,,,,,,,,,,,-3.8115692138671875,7.752425193786621,-3.711012601852417,-0.12983547151088715,0.0521470308303833,0.03299098089337349,-4.349999904632568,23.850000381469727,12.300000190734863,209.91184997558594,,,,,,,,0.0,0.0,0.0,,,,,,,,12.15999984741211,55.540000915527344,,675
25050,,,,,,,,,,,,,,,,,-5.2049946784973145,8.370129585266113,-2.604891538619995,0.13409237563610077,-0.07822055369615555,-0.029266193509101868,-2.4000000953674316,24.149999618530273,14.25,210.0076904296875,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.149999618530273,55.439998626708984,,670
25581,698.75,3492.5,2440.0,16.839433670043945,,,,,,,,,,,,,-3.825934410095215,7.738059997558594,-2.4612393379211426,-0.09311969578266144,0.04363323003053665,0.2091202437877655,-6.150000095367432,23.850000381469727,16.350000381469727,209.95977783203125,,,,,,,,0.0,0.0,0.0,,,,,,,,12.1899995803833,55.400001525878906,,667
26114,,,,,2025,12,6,17,2,1,41.37358093261719,-92.03581237792969,0.0,0.0,9298359.0,0,-4.333505153656006,7.814674377441406,-3.3423056602478027,-0.04735802114009857,-0.07609209418296814,-0.14686307311058044,-2.700000047683716,24.149999618530273,12.600000381469727,209.95977783203125,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.180000305175781,55.369998931884766,,669
27564,970.0,3362.5,3250.0,17.307579040527344,,,,,,,,,,,,,-4.960785865783691,6.842628479003906,-2.829946517944336,-0.23040474951267242,0.156973198056221,-0.007981688715517521,0.6000000238418579,23.100000381469727,16.350000381469727,210.10354614257812,,,,,,,,0.0,0.0,0.0,,,,,,,,12.210000038146973,55.34000015258789,,672
28096,,,,,,,,,,,,,,,,,-5.315127849578857,7.632715225219727,-2.7964274883270264,0.025541404262185097,0.1575053185224533,0.12504646182060242,-5.699999809265137,22.200000762939453,14.399999618530273,209.95977783203125,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.180000305175781,55.279998779296875,,672
28627,935.0,3378.75,3160.0,18.243831634521484,,,,,,,,,,,,,-5.578489780426025,8.255207061767578,-2.2409727573394775,0.14845940470695496,0.37567150592803955,0.20060645043849945,-3.0,22.5,12.899999618530273,210.15145874023438,,,,,,,,0.0,0.0,0.0,,,,,,,,12.239999771118164,55.310001373291016,,670
29160,,,,,2025,12,6,17,2,4,41.42483139038086,-90.75935363769531,0.0,0.0,9317316.0,0,-5.272032260894775,7.704541206359863,-1.886630892753601,-0.1553768664598465,-0.040972672402858734,0.15378053486347198,0.15000000596046448,24.899999618530273,15.449999809265137,210.10354614257812,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.220000267028809,55.38999938964844,,674
30610,927.5,3380.0,3100.0,18.71197509765625,,,,,,,,,,,,,-5.7556610107421875,9.174580574035645,0.26336219906806946,-0.37194669246673584,-0.11759687960147858,-0.10535828769207001,-3.299999952316284,25.049999237060547,19.350000381469727,210.15145874023438,,,,,,,,0.0,0.0,0.0,,,,,,,,12.210000038146973,55.5099983215332,,671
31143,,,,,,,,,,,,,,,,,-4.395754337310791,9.05487060546875,-2.365471363067627,-0.26658838987350464,0.2628636062145233,-0.11280786246061325,-5.099999904632568,23.850000381469727,18.899999618530273,210.15145874023438,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.229999542236328,55.560001373291016,,669
31674,940.0,3377.5,3170.0,17.307579040527344,,,,,,,,,,,,,-4.3191399574279785,8.887276649475098,-2.734178304672241,0.03299098089337349,0.1388813853263855,0.08513801544904709,-4.349999904632568,24.75,18.899999618530273,210.0076904296875,,,,,,,,0.0,0.0,0.0,,,,,,,,12.279999732971191,55.59000015258789,,678
32206,,,,,2025,12,6,17,2,7,41.55000686645508,-92.9621353149414,0.0,0.0,9363638.0,0,-4.371812343597412,8.389283180236816,-2.7437551021575928,0.018623940646648407,0.08567012846469879,-0.042569007724523544,-6.0,24.149999618530273,19.5,210.10354614257812,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.279999732971191,55.560001373291016,,671
33557,918.75,3382.5,3110.0,16.37129020690918,,,,,,,,,,,,,-3.6152446269989014,8.250418663024902,-2.9927520751953125,-0.07555998861789703,0.21923038363456726,-0.011174364015460014,-6.599999904632568,23.850000381469727,19.350000381469727,210.15145874023438,,,,,,,,0.0,0.0,0.0,,,,,,,,12.279999732971191,55.540000915527344,,672
34089,,,,,,,,,,,,,,,,,-4.280832767486572,7.594407558441162,-3.0406360626220703,0.13462448120117188,-0.002128450432792306,-0.07236731052398682,-6.75,24.450000762939453,20.549999237060547,210.1993865966797,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.270000457763672,55.599998474121094,,673
34620,703.75,3483.75,2460.0,15.903145790100098,,,,,,,,,,,,,-4.611232280731201,9.251194953918457,-3.1699230670928955,-0.012770702131092548,0.04576168209314346,0.021816615015268326,-5.550000190734863,23.850000381469727,19.350000381469727,210.15145874023438,,,,,,,,0.0,0.0,0.0,,,,,,,,12.380000114440918,55.79999923706055,,667
35153,,,,,2025,12,6,17,2,10,33.07377624511719,-111.97451782226562,62.0,0.0,346500.0,6,-4.6255974769592285,8.054094314575195,-3.3231520652770996,0.0691746324300766,-0.03618365526199341,-0.12877124547958374,-4.949999809265137,24.899999618530273,16.200000762939453,210.29522705078125,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.4399995803833,56.689998626708984,,670
