Millis,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog_Temp_0 ADC_val
445480,1043.75,3240.0,3380.0,20.584518432617188,,,,,,,,,,,,,9.715670585632324,0.20111294090747833,1.1061211824417114,-1.5888882875442505,-0.16921178996562958,0.10855096578598022,-40.79999923706055,-33.75,44.400001525878906,215.6146697998047,,,,,,,,0.0,0.0,0.0,,,,,,,,13.649999618530273,29.760000228881836,,682
446012,,,,,2025,12,6,17,9,1,33.07533264160156,-111.96843719482422,7378.0,13032456.0,2280406.0,26,9.423578262329102,1.3120225667953491,0.7134721279144287,-0.3442768454551697,-0.09790871292352676,-0.011706477031111717,-36.45000076293945,-25.200000762939453,2.25,215.71051025390625,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.579999923706055,29.65999984741211,,678
447463,1032.5,3238.75,3330.0,22.925203323364258,,,,,,,,,,,,,9.730035781860352,0.5171475410461426,-0.16759411990642548,0.20007432997226715,0.08300956338644028,-0.07236731052398682,-36.150001525878906,-25.5,0.6000000238418579,215.6146697998047,,,,,,,,0.0,0.0,0.0,,,,,,,,13.510000228881836,29.59000015258789,,679
447995,,,,,,,,,,,,,,,,,9.77791976928711,-0.29209262132644653,-1.843535304069519,0.4831582307815552,0.16601912677288055,-0.051614921540021896,-37.5,-30.299999237060547,6.0,215.71051025390625,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.4399995803833,29.530000686645508,,681
448526,761.25,3380.0,2570.0,20.11637306213379,,,,,,,,,,,,,10.247182846069336,-1.9823989868164062,-0.5363011956214905,0.7172877192497253,0.15165209770202637,-0.14952364563941956,-38.849998474121094,-33.900001525878906,13.5,215.71051025390625,,,,,,,,0.0,0.0,0.0,,,,,,,,13.460000038146973,29.5,,680
449059,,,,,2025,12,6,17,9,4,33.07522201538086,-111.96826934814453,6087.0,15148532.0,2300556.0,26,9.500192642211914,1.5466543436050415,-0.4165911078453064,1.277602195739746,0.06225717440247536,0.04576168209314346,-42.75,-27.899999618530273,42.45000076293945,215.80636596679688,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.420000076293945,29.399999618530273,,680
450409,987.5,3260.0,3230.0,24.329635620117188,,,,,,,,,,,,,9.557653427124023,-0.363918662071228,-2.126051187515259,0.56244295835495,0.02766985446214676,-0.09844082593917847,-42.45000076293945,-20.850000381469727,46.349998474121094,215.4229736328125,,,,,,,,0.0,0.0,0.0,,,,,,,,13.5,29.3799991607666,,680
450942,,,,,,,,,,,,,,,,,9.639056205749512,-1.3934253454208374,-1.0247182846069336,0.5342410206794739,-0.031926754862070084,-0.013302814215421677,-43.650001525878906,-14.550000190734863,47.400001525878906,215.75843811035156,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.5,29.31999969482422,,679
451473,1020.0,3256.25,3320.0,24.329635620117188,,,,,,,,,,,,,9.720458984375,0.019153613597154617,0.15322890877723694,1.0338947772979736,-0.007449576165527105,0.026605628430843353,-43.5,-9.449999809265137,43.95000076293945,215.80636596679688,,,,,,,,0.0,0.0,0.0,,,,,,,,13.5600004196167,29.360000610351562,,682
452006,,,,,2025,12,6,17,9,7,33.075050354003906,-111.96817779541016,8544.0,16091020.0,2318855.0,26,10.156203269958496,0.5985504388809204,0.043095629662275314,1.8155680894851685,-0.09790871292352676,0.08088111132383347,-41.70000076293945,-8.850000381469727,12.300000190734863,215.71051025390625,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.34000015258789,29.200000762939453,,680
453456,995.0,3257.5,3240.0,23.393346786499023,,,,,,,,,,,,,10.18493366241455,0.33039984107017517,0.5554547905921936,1.520777702331543,0.023412954062223434,0.2575424909591675,-41.54999923706055,-32.25,13.649999618530273,215.75843811035156,,,,,,,,0.0,0.0,0.0,,,,,,,,13.239999771118164,29.18000030517578,,685
453989,,,,,,,,,,,,,,,,,10.304644584655762,1.699883222579956,0.3208230137825012,1.221198320388794,0.16601912677288055,0.13622082769870758,-38.400001525878906,-40.95000076293945,31.799999237060547,215.75843811035156,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.380000114440918,29.149999618530273,,685
454520,1017.5,3233.75,3290.0,21.52080535888672,,,,,,,,,,,,,9.567230224609375,1.4173674583435059,-0.42616790533065796,0.35491910576820374,0.09897294640541077,0.04576168209314346,-37.5,-39.900001525878906,42.900001525878906,215.6146697998047,,,,,,,,0.0,0.0,0.0,,,,,,,,13.4399995803833,29.1200008392334,,681
455053,,,,,2025,12,6,17,9,10,33.07484817504883,-111.96805572509766,9074.0,13884754.0,2338235.0,26,9.696516990661621,-1.173158884048462,0.9433154463768005,-0.9572705030441284,-0.07928477972745895,-0.11387208849191666,-37.650001525878906,-43.20000076293945,22.649999618530273,215.75843811035156,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.4399995803833,29.030000686645508,,685
